epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,3555.79,0.82299,0.4788,0.8852,0.78795,0.62877,0.74019,0.27713,2.27102,1.3418,2.2994,0.00037135,0.00037135,0.00037135
129,3578.8,0.76375,0.4617,0.86681,0.83295,0.62174,0.7463,0.27782,2.25337,1.41518,2.26779,0.0003664,0.0003664,0.0003664
130,3601.74,0.77168,0.4546,0.87777,0.84982,0.60473,0.71865,0.25306,2.35359,1.50661,2.47857,0.00036145,0.00036145,0.00036145
131,3624.91,0.76071,0.45925,0.87049,0.85434,0.63155,0.72155,0.25401,2.29487,1.52875,2.35088,0.0003565,0.0003565,0.0003565
132,3648.15,0.75255,0.45153,0.87895,0.79455,0.68462,0.7273,0.26366,2.287,1.43743,2.3075,0.00035155,0.00035155,0.00035155
133,3671.42,0.73545,0.44538,0.8768,0.82641,0.69023,0.73645,0.25208,2.35467,1.41552,2.37839,0.0003466,0.0003466,0.0003466
134,4134.29,0.76509,0.45136,0.86406,0.83045,0.68462,0.76885,0.27334,2.29762,1.32734,2.30958,0.00034165,0.00034165,0.00034165
135,4160.21,0.75305,0.44471,0.86258,0.81956,0.68671,0.7699,0.27449,2.30621,1.37851,2.2975,0.0003367,0.0003367,0.0003367
136,4188.62,0.75167,0.45978,0.87905,0.79815,0.69676,0.76191,0.26897,2.33686,1.39766,2.38793,0.00033175,0.00033175,0.00033175
137,4215.16,0.70519,0.43283,0.87606,0.81893,0.69111,0.76797,0.28529,2.28415,1.38486,2.3195,0.0003268,0.0003268,0.0003268
138,4238.05,0.74153,0.44603,0.86119,0.76475,0.72662,0.73835,0.25459,2.39593,1.37211,2.48633,0.00032185,0.00032185,0.00032185
139,4261.31,0.75367,0.45322,0.88509,0.80126,0.70331,0.76553,0.26923,2.31387,1.3461,2.37238,0.0003169,0.0003169,0.0003169
140,4284.29,0.7083,0.43668,0.85993,0.84672,0.64579,0.74348,0.25624,2.36789,1.4457,2.45159,0.00031195,0.00031195,0.00031195
141,4307.48,0.71415,0.4387,0.85594,0.73449,0.73282,0.73744,0.26211,2.31769,1.42523,2.39591,0.000307,0.000307,0.000307
142,4330.37,0.69096,0.42422,0.86032,0.77087,0.73943,0.74892,0.27038,2.27032,1.4202,2.3126,0.00030205,0.00030205,0.00030205
143,4353.08,0.6937,0.4285,0.85616,0.78067,0.75346,0.75521,0.26672,2.27137,1.34081,2.30317,0.0002971,0.0002971,0.0002971
144,4376.06,0.68584,0.43371,0.8665,0.7827,0.73975,0.75673,0.27159,2.24515,1.3328,2.25445,0.00029215,0.00029215,0.00029215
145,4398.95,0.68104,0.43642,0.85675,0.80701,0.69542,0.76844,0.2665,2.29087,1.37754,2.34363,0.0002872,0.0002872,0.0002872
146,4421.73,0.69112,0.43718,0.85018,0.77514,0.7287,0.7773,0.26931,2.25574,1.38343,2.27664,0.00028225,0.00028225,0.00028225
147,4444.6,0.69388,0.43252,0.86275,0.78205,0.72639,0.77329,0.25567,2.32135,1.35189,2.39027,0.0002773,0.0002773,0.0002773
148,4467.65,0.70475,0.4408,0.87693,0.80271,0.72896,0.78405,0.26904,2.27718,1.30924,2.34698,0.00027235,0.00027235,0.00027235
149,4490.96,0.70842,0.42908,0.86064,0.78911,0.72904,0.78033,0.2719,2.2423,1.34409,2.29842,0.0002674,0.0002674,0.0002674
150,4515.02,0.7099,0.43372,0.87691,0.80603,0.70634,0.74679,0.25053,2.335,1.3561,2.48741,0.00026245,0.00026245,0.00026245
151,4538.19,0.69292,0.43025,0.85944,0.81468,0.67557,0.74638,0.24928,2.36812,1.3803,2.53499,0.0002575,0.0002575,0.0002575
152,4561.18,0.66194,0.40797,0.86054,0.80365,0.68792,0.74832,0.26968,2.24525,1.39312,2.28536,0.00025255,0.00025255,0.00025255
153,4584.55,0.66973,0.41715,0.85272,0.82099,0.6794,0.74628,0.25734,2.3212,1.41971,2.40207,0.0002476,0.0002476,0.0002476
154,4607.89,0.6557,0.4112,0.854,0.85946,0.65051,0.74469,0.25475,2.30149,1.40724,2.40386,0.00024265,0.00024265,0.00024265
155,4631.87,0.71618,0.4419,0.86574,0.85729,0.65085,0.74789,0.25881,2.31665,1.40765,2.44785,0.0002377,0.0002377,0.0002377
156,4654.69,0.66789,0.41764,0.85456,0.84759,0.65972,0.747,0.26695,2.26009,1.3893,2.32554,0.00023275,0.00023275,0.00023275
157,4677.51,0.67111,0.4097,0.84764,0.83919,0.66572,0.75207,0.27735,2.231,1.33565,2.30557,0.0002278,0.0002278,0.0002278
158,4700.48,0.65225,0.40091,0.85536,0.82919,0.68996,0.76244,0.2738,2.28419,1.30597,2.39969,0.00022285,0.00022285,0.00022285
159,4723.48,0.63449,0.39541,0.84093,0.83882,0.68375,0.76128,0.27743,2.26819,1.317,2.38545,0.0002179,0.0002179,0.0002179
160,4746.37,0.64542,0.40132,0.85168,0.83791,0.68335,0.75669,0.25677,2.33926,1.36725,2.4906,0.00021295,0.00021295,0.00021295
161,4769.86,0.66826,0.42471,0.86454,0.84224,0.67841,0.75818,0.26554,2.28027,1.33559,2.4106,0.000208,0.000208,0.000208
162,4793.15,0.6668,0.4135,0.86178,0.82364,0.70245,0.75389,0.25755,2.31115,1.34612,2.46689,0.00020305,0.00020305,0.00020305
163,4816.84,0.661,0.40201,0.84396,0.82884,0.68659,0.75536,0.26557,2.3066,1.36459,2.44352,0.0001981,0.0001981,0.0001981
164,4841.92,0.65294,0.40144,0.84608,0.80471,0.69088,0.76328,0.27125,2.28496,1.36956,2.42508,0.00019315,0.00019315,0.00019315
165,4864.94,0.65705,0.4117,0.84646,0.74907,0.70765,0.75298,0.26966,2.31343,1.41568,2.48737,0.0001882,0.0001882,0.0001882
166,4888.22,0.6481,0.40463,0.86057,0.82913,0.64668,0.75573,0.27573,2.28432,1.38889,2.45781,0.00018325,0.00018325,0.00018325
167,4912.1,0.61658,0.39093,0.84507,0.75129,0.6961,0.75449,0.2705,2.30479,1.41108,2.47673,0.0001783,0.0001783,0.0001783
168,4935.09,0.635,0.39869,0.84717,0.74157,0.68879,0.73612,0.26071,2.31208,1.45833,2.48016,0.00017335,0.00017335,0.00017335
169,4958.2,0.63575,0.3974,0.84645,0.72323,0.69737,0.72763,0.24938,2.3291,1.48342,2.52117,0.0001684,0.0001684,0.0001684
170,4981.15,0.62668,0.39589,0.84124,0.74585,0.6952,0.75399,0.25956,2.29697,1.4836,2.47591,0.00016345,0.00016345,0.00016345
171,5004.05,0.61122,0.39601,0.85192,0.81223,0.66362,0.75689,0.2736,2.25439,1.43375,2.40984,0.0001585,0.0001585,0.0001585
172,5026.87,0.62718,0.39654,0.83411,0.82051,0.67061,0.76801,0.27751,2.28017,1.39183,2.46056,0.00015355,0.00015355,0.00015355
173,5049.85,0.62217,0.39999,0.85667,0.81007,0.67697,0.76716,0.27401,2.30582,1.36719,2.49814,0.0001486,0.0001486,0.0001486
174,5072.96,0.60359,0.38922,0.83234,0.82113,0.67498,0.77576,0.28096,2.28708,1.34012,2.4871,0.00014365,0.00014365,0.00014365
175,5096.01,0.61008,0.39812,0.84311,0.83565,0.66346,0.76894,0.29,2.23746,1.36867,2.38408,0.0001387,0.0001387,0.0001387
176,5119.03,0.59452,0.38176,0.84392,0.82781,0.66454,0.76915,0.27935,2.25582,1.36421,2.41537,0.00013375,0.00013375,0.00013375
177,5142.07,0.64566,0.3983,0.84521,0.86253,0.64413,0.77265,0.2928,2.21796,1.32474,2.36443,0.0001288,0.0001288,0.0001288
178,5168.18,0.60535,0.37857,0.85062,0.8459,0.6473,0.77046,0.2981,2.2131,1.35583,2.33289,0.00012385,0.00012385,0.00012385
179,5192.33,0.61324,0.38807,0.83832,0.79167,0.69305,0.76988,0.29299,2.208,1.38353,2.32313,0.0001189,0.0001189,0.0001189
